NHRC-4 Repeater Controller,,,,,,,,,,NHRC Repeater Controllers
Bill of Materials,,,,,,,,,,444 Micol Road
"Revised: Wednesday, January 07, 1998",,,,,,,,,,"Pembroke, NH 03275"
Revision: B,,,,,,,,,,603-485-2248
,,,,,,,,,,
Item,Qty.,Ref.,Schematic Value,,Description,Mfg.,Mfg. P/N,Digi-Key P/N, Unit Cost ,Notes
1,11,C1,1uF,,1uF 16V Tantalum Cap,Panasonic,ECS-F1CE105K,P2105-ND, $0.24 ,
,,C2,1uF,,1uF 16V Tantalum Cap,Panasonic,ECS-F1CE105K,P2105-ND, $0.24 ,
,,C3,1uF,,1uF 16V Tantalum Cap,Panasonic,ECS-F1CE105K,P2105-ND, $0.24 ,
,,C5,1uF,,1uF 16V Tantalum Cap,Panasonic,ECS-F1CE105K,P2105-ND, $0.24 ,
,,C6,1uF,,1uF 16V Tantalum Cap,Panasonic,ECS-F1CE105K,P2105-ND, $0.24 ,
,,C9,1uF,,1uF 16V Tantalum Cap,Panasonic,ECS-F1CE105K,P2105-ND, $0.24 ,
,,C10,1uF,,1uF 16V Tantalum Cap,Panasonic,ECS-F1CE105K,P2105-ND, $0.24 ,
,,C12,1uF,,1uF 16V Tantalum Cap,Panasonic,ECS-F1CE105K,P2105-ND, $0.24 ,
,,C13,1uF,,1uF 16V Tantalum Cap,Panasonic,ECS-F1CE105K,P2105-ND, $0.24 ,
,,C18,1uF,,1uF 16V Tantalum Cap,Panasonic,ECS-F1CE105K,P2105-ND, $0.24 ,
,,C21,1uF,,1uF 16V Tantalum Cap,Panasonic,ECS-F1CE105K,P2105-ND, $0.24 ,
2,2,C11,0.0068uF,,0.0068uF 50V X7R Ceramic Radial Cap,Panasonic,ECU-S1H682KBA,P4951-ND, $0.18 ,see note 2
,,C4,0.0068uF,,0.0068uF 50V X7R Ceramic Radial Cap,Panasonic,ECU-S1H682KBA,P4951-ND, $0.18 ,see note 2
3,1,C7,22uF,25V,22uF 25V Tantalum Cap,Panasonic,ECS-F1EE226,P2051-ND, $1.74 ,
4,6,C8,0.1uF,,0.1uF 50V Z5U Ceramic Radial Cap,Panasonic,ECU-S1H104MEA,P4924-ND, $0.21 ,
,,C14,0.1uF,,0.1uF 50V Z5U Ceramic Radial Cap,Panasonic,ECU-S1H104MEA,P4924-ND, $0.21 ,
,,C16,0.1uF,,0.1uF 50V Z5U Ceramic Radial Cap,Panasonic,ECU-S1H104MEA,P4924-ND, $0.21 ,
,,C17,0.1uF,,0.1uF 50V Z5U Ceramic Radial Cap,Panasonic,ECU-S1H104MEA,P4924-ND, $0.21 ,
,,C19,0.1uF,,0.1uF 50V Z5U Ceramic Radial Cap,Panasonic,ECU-S1H104MEA,P4924-ND, $0.21 ,
,,C20,0.1uF,,0.1uF 50V Z5U Ceramic Radial Cap,Panasonic,ECU-S1H104MEA,P4924-ND, $0.21 ,
5,1,C15,220uF,25V,220uF 25V Aluminum Radial Electrolytic Cap,Panasonic,ECE-A1EGE221,P5245-ND, $0.56 ,
6,1,C22,33pF,,33pF 100V C0G Ceramic Radial Cap,Panasonic,ECU-S2A330JCA,P4843-ND, $0.18 ,
